venue_id	title	issn_l
282504591527178266	Acta crystallographica. Section A, Foundations and advances	2053-2733
282504591527178267	Acta crystallographica. Section B, Structural science	0108-7681
282504591527178268	Acta crystallographica. Section B: Structural crystallography and crystal chemistry	0567-7408
282504591527178269	Acta crystallographica Section B, Structural science, crystal engineering and materials	2052-5192
282504591527178270	Acta crystallographica. Section C, Crystal structure communications	0108-2701
282504591527178271	Acta crystallographica. Section C, Structural chemistry	2053-2296
282504591527178272	Acta crystallographica. Section D, Biological crystallography	0907-4449
282504591527178273	Acta crystallographica. Section D, Structural biology	2059-7983
282504591527178274	Acta crystallographica. Section F, Structural biology communications	2053-230X
282504591527178275	Acta crystallographica. Section F, Structural biology and crystallization communications	1744-3091
282504591527178276	Acta cytologica	0001-5547
282504591527178277	Acta dermato-venereologica	0001-5555
282504591527178278	Acta dermato-venereologica. Supplementum	0365-8341
282504591527178279	Acta dermatologica-Kyoto. English edition	0376-0189
282504591527178280	Acta dermatovenerologica Alpina, Pannonica, et Adriatica	1318-4458
282504591527178281	Acta dermatovenerologica Croatica : ADC	1330-027X
282504591527178282	Acta diabetologica	0940-5429
282504591527178283	Acta diabetologica latina	0001-5563
282504591527178284	Acta embryologiae experimentalis	0065-1184
282504591527178285	Acta embryologiae et morphologiae experimentalis	0567-7416
282504591527178286	Acta embryologiae et morphologiae experimentalis ("Halocynthia" Association")	0391-9706
282504591527178287	Acta endocrinologica	0001-5598
282504591527178288	Acta endocrinologica Iberica	0400-4000
282504591527178289	Acta endocrinologica. Supplementum	0300-9750
282504591527178290	Acta Europaea fertilitatis	0587-2421
282504591527178291	Acta gastro-enterologica Belgica	1784-3227
282504591527178292	Acta gastroenterologica Latinoamericana	0300-9033
282504591527178293	Acta geneticae medicae et gemellologiae	0001-5660
282504591527178294	Acta genetica et statistica medica	0567-7440
282504591527178295	Acta gerontologica	0001-5741
282504591527178296	Acta ginecológica	0001-5776
282504591527178297	Acta gynaecologica et obstetrica Hispano-Lusitana	0001-5784
282504591527178298	Acta haematologica	0001-5792
282504591527178299	Acta haematologica Polonica	0001-5814
282504591527178300	Acta hepato-gastroenterologica	0300-970X
282504591527178301	Acta hepato-splenologica	0001-5822
282504591527178302	Acta historica Leopoldina	0001-5857
282504591527178303	Acta histórico-médica vallisoletana. Monografías	0210-9360
282504591527178304	Acta historica scientiarum naturalium et medicinalium	0065-1311
282504591527178305	Acta histochemica	0065-1281
282504591527178306	Acta histochemica. Supplementband	0567-7556
282504591527178307	Acta hospitalia	0044-6009
282504591527178308	Acta ibérica radiológica-cancerológica	0001-589X
282504591527178309	Acta isotopica	0001-5911
282504591527178310	Acta Leidensia	0065-1362
282504591527178311	Acta leprologica	0001-5938
282504591527178312	Acta medica academica	1840-1848
282504591527178313	Acta medica Academiae Scientiarum Hungaricae	0001-5989
282504591527178314	Acta medica Austriaca	0303-8173
282504591527178315	Acta medica Austriaca. Supplement	0303-8181
282504591527178316	Acta medica et biologica	0567-7734
282504591527178317	Acta medica Croatica : c̆asopis Hravatske akademije medicinskih znanosti	1330-0164
282504591527178320	Acta medico-historica adriatica : AMHA	1334-4366
282504591527178321	Acta medica Hungarica	0236-5286
282504591527178322	Acta medica Indonesiana	0125-9326
282504591527178323	Acta medica Iranica	0044-6025
282504591527178324	Acta medica Italica di malattie infettive e parassitarie	0365-3285
282504591527178325	Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	0001-6039
282504591527178326	Acta medica Iugoslavica	0375-8338
282504591527178328	Acta medicinae legalis et socialis	0065-1397
282504591527178329	Acta medica Nagasakiensia	0001-6055
282504591527178330	Acta medica Okayama	0386-300X
282504591527178331	Acta medicinae Okayama	0001-6152
282504591527178335	Acta medica Philippina	0001-6071
282504591527178336	Acta medica Polona	0001-608X
282504591527178337	Acta médica portuguesa	0870-399X
282504591527178338	Acta medica Scandinavica	0001-6101
282504591527178339	Acta medica Scandinavica. Supplementum	0365-463X
282504591527178340	Acta médica de Tenerife	0001-6020
282504591527178341	Acta medica Turcica	0567-7750
282504591527178342	Acta medica veterinaria	0001-6136
282504591527178343	Acta medica Vietnamica	0001-6144
282504591527178344	Acta medica (Hradec Králové)	1211-4286
282504591527178345	Acta medica (Hradec Králové). Supplementum	1211-247X
282504591527178346	Acta medica	0515-2917
282504591527178347	Acta microbiologica Academiae Scientiarum Hungaricae	0001-6187
282504591527178348	Acta microbiologica Bulgarica	0204-8809
282504591527178349	Acta microbiologica Hungarica	0231-4622
282504591527178350	Acta microbiologica et immunologica Hungarica	1217-8950
282504591527178351	Acta microbiologica Polonica	0137-1320
282504591527178352	Acta microbiologica Polonica (1952)	0001-6195
282504591527178353	Acta microbiologica Polonica. Series A: Microbiologia generalis	0567-7815
282504591527178354	Acta microbiologica Polonica. Series B: Microbiologia applicata	0567-7823
282504591527178355	Acta microbiologica, virologica et immunologica	0324-0452
282504591527178356	Acta morphologica Academiae Scientiarum Hungaricae	0001-6217
282504591527178358	Acta morphologica Hungarica	0236-5391
282504591527178359	Acta morphologica Neerlando-Scandinavica	0001-6225
282504591527178360	Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology	1128-2460
282504591527178361	Acta Neerlandica morphologiae normalis et pathologicae	0365-4907
282504591527178362	Acta neurobiologiae experimentalis	0065-1400
282504591527178363	Acta neurochirurgica	0001-6268
282504591527178364	Acta neurochirurgica. Supplement	0065-1419
282504591527178366	Acta neurologica	0001-6276
282504591527178367	Acta neurologica Belgica	0300-9009
282504591527178368	Acta neurológica latinoamericana	0001-6306
282504591527178369	Acta neurologica et psychiatrica Belgica	0001-6284
282504591527178370	Acta neurologica. Quaderni	0515-2976
282504591527178371	Acta neurologica Scandinavica	0001-6314
282504591527178372	Acta neurologica Scandinavica. Supplementum	0065-1427
282504591527178373	Acta neurologica Taiwanica	1028-768X
282504591527178374	Acta neuropathologica	0001-6322
282504591527178375	Acta neuropathologica communications	2051-5960
282504591527178376	Acta neuropathologica. Supplementum	0065-1435
282504591527178377	Acta neuropsychiatrica	0924-2708
282504591527178378	Acta neurovegetativa	0375-9245
282504591527178379	Acta neurovegetativa. Supplementum	0365-513X
282504591527178380	Acta obstétrica y ginecológica hispano-lusitana	0210-9832
282504591527178381	Acta obstetrica y ginecologica hispano-lusitana. Suplemento	0300-8940
282504591527178382	Acta obstetrica et gynaecologica Japonica	0001-6330
282504591527178383	Acta obstetricia et gynecologica Scandinavica	0001-6349
282504591527178384	Acta obstetricia et gynecologica Scandinavica. Supplement	0300-8835
282504591527178385	Acta odontológica latinoamericana : AOL	0326-4815
282504591527178386	Acta de odontología pediátrica	0252-1032
282504591527178387	Acta odontologica Scandinavica	0001-6357
282504591527178388	Acta odontologica Scandinavica. Supplementum	0365-530X
282504591527178389	Acta odontológica venezolana	0001-6365
282504591527178390	Acta oncologica (Stockholm, Sweden)	0284-186X
282504591527178391	Acta oncológica	0001-6381
282504591527178392	Acta ophthalmologica	1755-375X
282504591527178393	Acta ophthalmologica	0001-639X
282504591527178394	Acta ophthalmologica Scandinavica	1395-3907
282504591527178395	Acta ophthalmologica Scandinavica. Supplement	1395-3931
282504591527178396	Acta ophthalmologica. Supplementum	0065-1451
282504591527178398	Acta ophthalmologica. Supplement	1755-3784
282504591527178399	Acta orthopaedica	1745-3674
282504591527178400	Acta orthopaedica Belgica	0001-6462
282504591527178401	Acta orthopaedica Scandinavica	0001-6470
282504591527178402	Acta orthopaedica Scandinavica. Supplementum	0300-8827
282504591527178403	Acta orthopaedica. Supplementum	1745-3690
282504591531372545	Acta orthopaedica et traumatologica turcica	1017-995X
282504591531372546	Acta ortopédica mexicana	2306-4102
282504591531372547	Acta oto-laryngologica	0001-6489
282504591531372549	Acta oto-laryngologica. Supplementum	0365-5237
282504591531372550	Acta oto-rhino-laryngologica Belgica	0001-6497
282504591531372551	Acta otorhinolaryngologica Italica : organo ufficiale della Società italiana di otorinolaringologia e chirurgia cervico-facciale	0392-100X
282504591531372552	Acta oto-rino-laringológica ibero-americana	0001-6500
282504591531372553	Acta otorrinolaringológica española	0001-6519
282504591531372554	Acta otorrinolaringologica española	2173-5735
282504591531372555	Acta paediatrica (Oslo, Norway : 1992)	0803-5253
282504591531372556	Acta paediatrica	0365-1436
282504591531372557	Acta paediatrica Academiae Scientiarum Hungaricae	0001-6527
282504591531372558	Acta paediatrica Belgica	0001-6535
282504591531372559	Acta paediatrica Hungarica	0231-441X
282504591531372560	Acta paediatrica Japonica : Overseas edition	0374-5600
282504591531372561	Acta paediatrica Latina	0365-5504
282504591531372562	Acta paediatrica Scandinavica	0001-656X
282504591531372563	Acta paediatrica Scandinavica. Supplement	0300-8843
282504591531372564	Acta paediatrica (Oslo, Norway : 1992). Supplement	0803-5326
282504591531372565	Acta paediatrica. Supplementum	0365-5741
282504591531372566	Acta paediatrica Taiwanica = Taiwan er ke yi xue hui za zhi	1608-8115
282504591531372567	Acta paedopsychiatrica	0001-6586
282504591531372568	Acta parasitologica	1230-2821
282504591531372569	Acta pathologica japonica	0001-6632
282504591531372570	Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology	0108-0164
282504591531372571	Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology	0108-0180
282504591531372572	Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology	0108-0202
282504591531372573	Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement	0108-0172
282504591531372574	Acta pathologica et microbiologica Scandinavica	0365-5555
282504591531372575	Acta pathologica et microbiologica Scandinavica. Section A, Pathology	0365-4184
282504591531372576	Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	0105-0656
282504591531372577	Acta pathologica et microbiologica Scandinavica. Section B: Microbiology and immunology	0365-5571
282504591531372578	Acta pathologica et microbiologica Scandinavica. Section C, Immunology	0304-1328
282504591531372580	Acta pathologica et microbiologica Scandinavica. Supplementum	0065-1486
282504591531372581	Acta pediátrica española	0001-6640
282504591531372582	Acta pharmaceutica (Zagreb, Croatia)	1330-0075
282504591531372583	Acta pharmaceutica Hungarica	0001-6659
282504591531372585	Acta pharmaceutica Jugoslavica	0001-6667
282504591531372586	Acta pharmaceutica Nordica	1100-1801
282504591531372587	Acta pharmaceutica Suecica	0001-6675
282504591531372588	Acta pharmacologica Sinica	1671-4083
282504591531372589	Acta pharmacologica et toxicologica	0001-6683
282504591531372590	Acta physiologica (Oxford, England)	1748-1708
282504591531372591	Acta physiologica Academiae Scientiarum Hungaricae	0001-6756
282504591531372592	Acta physiologica Hungarica	0231-424X
282504591531372593	Acta physiologica latino americana	0001-6764
282504591531372594	Acta physiologica et pharmacologica Bulgarica	0323-9950
282504591531372595	Acta physiologica et pharmacologica latinoamericana : organo de la Asociación Latinoamericana de Ciencias Fisiológicas y de la Asociación Latinoamericana de Farmacología	0326-6656
282504591531372596	Acta physiologica et pharmacologica Neerlandica	0001-6748
282504591531372597	Acta physiologica, pharmacologica et therapeutica latinoamericana : órgano de la Asociación Latinoamericana de Ciencias Fisiológicas y [de] la Asociación Latinoamericana de Farmacología	0327-6309
282504591531372598	Acta physiologica Polonica	0044-6033
282504591531372599	Acta physiologica Scandinavica	0001-6772
282504591531372600	Acta physiologica Scandinavica. Supplementum	0302-2994
282504591531372601	Acta physiotherapica et rheumatologica Belgica	0770-2728
282504591531372602	Acta poloniae pharmaceutica	0001-6837
282504591531372603	Acta psiquiátrica y psicológica de América latina	0001-6896
282504591531372604	Acta psychiatrica Belgica	0300-8967
282504591531372605	Acta psychiatrica et neurologica	0365-558X
282504591531372606	Acta psychiatrica et neurologica Scandinavica. Supplementum	0365-5067
282504591531372608	Acta psychiatrica Scandinavica	0001-690X
282504591531372609	Acta psychiatrica Scandinavica. Supplementum	0065-1591
282504591531372610	Acta psychologica	0001-6918
282504591531372611	Acta psychotherapeutica et psychosomatica	0365-5822
282504591531372612	Acta psychotherapeutica, psychosomatica et orthopaedagogica	0365-5679
282504591531372613	Acta radiologica (Stockholm, Sweden : 1987)	0284-1851
282504591531372615	Acta radiologica: diagnosis	0567-8056
282504591531372616	Acta radiologica. Oncology	0349-652X
282504591531372617	Acta radiologica: oncology, radiation, physics, biology	0348-5196
282504591531372619	Acta radiologica. Supplementum	0365-5954
282504591531372621	Acta radiologica: therapy, physics, biology	0567-8064
282504591531372622	Acta reumatológica portuguesa	0303-464X
282504591531372623	Acta rheumatologica Scandinavica	0001-6934
282504591531372624	Acta rheumatologica Scandinavica. Supplementum	0065-163X
282504591531372625	Acta rhumatologica	0250-4642
282504591531372626	Acta rhumatologica Belgica	0378-9497
282504591531372627	Acta Scholae Medicinalis Universitatis in Kioto	0001-6950
282504591531372628	Acta scientiarum polonorum. Technologia alimentaria	1644-0730
282504591531372629	Acta scientia Sinica = Chung-kuo k'o hsüeh	0365-7183
282504591531372630	Acta Societatis Medicorum Upsaliensis	0001-6985
282504591531372632	Acta socio-medica Scandinavica	0044-6041
282504591531372633	Acta socio-medica Scandinavica. Supplement	0301-7664
282504591531372634	Acta stomatologica Belgica	0001-7000
282504591531372635	Acta stomatologica Croatica	0001-7019
282504591531372636	Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	0255-4410
282504591531372637	Acta Societatis medicorum Fennicae Duodecim. Series A. Suomalainen lääkäriseura Duodecim	0365-1711
282504591531372638	Acta Societatis medicorum Fennicae Duodecim. Series B. Suomalainen lääkäriseura Duodecim	0365-172X
282504591531372639	Acta theriologica	0001-7051
282504591531372640	Acta tropica	0001-706X
282504591531372641	Acta tropica. Supplementum	0365-1541
282504591531372643	Acta tuberculosea Japonica	0567-8161
282504591531372644	Acta tuberculosea et pneumologica Belgica	0001-7078
282504591531372645	Acta tuberculosea et pneumologica Scandinavica	0365-7531
282504591531372649	Acta - Unio Internationalis Contra Cancrum	0365-3056
282504591531372650	Acta Universitatis Carolinae. Medica	0001-7116
282504591531372651	Acta Universitatis Carolinae. Medica. Monographia	0567-8250
282504591531372652	Acta Universitatis Palackianae Olomucensis Facultatis Medicae	0301-2514
282504591531372654	Acta urologica Belgica	0001-7183
282504591531372655	Acta veterinaria	0567-8315
282504591531372656	Acta veterinaria Academiae Scientiarum Hungaricae	0001-7205
282504591531372657	Acta veterinaria Hungarica	0236-6290
282504591531372658	Acta veterinaria Scandinavica	0044-605X
282504591531372659	Acta veterinaria Scandinavica. Supplementum	0065-1699
282504591531372660	Acta virologica	0001-723X
282504591531372661	Acta vitaminologica	0001-7248
282504591531372662	Acta vitaminologica et enzymologica	0300-8924
282504591531372663	Acta zoologica et pathologica Antverpiensia	0001-7280
282504591531372664	Actas Ciba	1669-4112
282504591531372666	Actas dermo-sifiliográficas	0001-7310
282504591531372667	Actas dermo-sifiliográficas	2173-5778
282504591531372668	Actas españolas de psiquiatría	1139-9287
282504591531372669	Actas luso-españolas de neurología y psiquiatría	0001-7329
282504591531372670	Actas luso-españolas de neurología, psiquiatría y ciencias afines	0300-5062
282504591531372672	Actas urologicas españolas	0210-4806
282504591531372673	Actas urologicas españolas	2173-5786
282504591531372676	Actualités cardiologiques et angéiologiques internationales	0365-1045
282504591531372677	Actualités endocrinologiques	0065-1826
282504591531372678	Actualités hépato-gastro-entérologiques	0240-8007
282504591531372679	Actualidad médica peruana	1017-9666
282504591531372680	Actualidad médica	0365-7965
282504591531372681	Actualités neurophysiologiques	0567-882X
282504591531372682	Actualidad odontoestomatologica española	1136-4386
282504591531372683	Actualités odonto-stomatologiques	0001-7817
282504591531372684	Actualidad pediátrica; revista de bibliografía internacional	0001-7671
282504591531372685	Actualités pharmaceutiques	0515-3700
282504591531372686	Actualités pharmacologiques	0567-8854
282504591531372687	Actualités de physiologie pathologique	0567-8714
282504591531372688	Acupuncture & electro-therapeutics research	0360-1293
282504591531372689	Acupuncture in medicine : journal of the British Medical Acupuncture Society	0964-5284
282504591531372690	Acute cardiac care	1748-2941
282504591531372691	Acute care	0254-0819
282504591531372692	Acute medicine	1747-4884
282504591531372693	AD nurse	0887-2198
282504591531372694	ADA forecast	0001-0847
282504591531372695	ADA news	0001-0855
282504591531372696	Adapted physical activity quarterly : APAQ	0736-5829
282504591531372697	Addictive behaviors	0306-4603
282504591531372698	Addiction biology	1355-6215
282504591531372699	Addictive diseases	0094-0267
282504591531372700	Addiction science & clinical practice	1940-0632
282504591531372701	Addiction (Abingdon, England)	0965-2140
282504591531372703	Adicciones	0214-4840
282504591531372704	Adipocyte	2162-3945
282504591531372707	Administrative management	0001-8376
282504591531372708	Administration in mental health	0090-1180
282504591531372709	Administration and policy in mental health	0894-587X
282504591531372710	Administrative radiology : AR	0738-6974
282504591531372712	Administrative science quarterly	0001-8392
282504591531372713	Administration in social work	0364-3107
282504591531372715	Adolescent medicine (Philadelphia, Pa.)	1041-3499
282504591531372716	Adolescent medicine: state of the art reviews	1934-4287
282504591531372717	Adolescent psychiatry	0065-2008
282504591531372718	Adolescence	0001-8449
282504591531372719	Adult education	0001-8481
282504591531372720	Advances in alcohol & substance abuse	0270-3106
282504591531372721	Advances in anatomy, embryology, and cell biology	0301-5556
282504591531372722	Advances in anatomic pathology	1072-4109
282504591531372723	Advances in anesthesia	0737-6146
282504591531372724	Advances in applied microbiology	0065-2164
282504591531372725	Advances in behavioral biology	0099-6246
282504591531372726	Advances in biochemical engineering/biotechnology	0724-6145
282504591531372727	Advances in biochemical psychopharmacology	0065-2229
282504591531372728	Advanced biology	2701-0198
282504591531372729	Advances in biological and medical physics	0065-2245
282504591531372730	Advances in biological regulation	2212-4926
282504591531372731	Advances in biology of skin	0065-2253
282504591531372732	Advances in biomedical engineering and medical physics	0065-2261
282504591531372733	Advances in biophysics	0065-227X
282504591531372734	Advances in the biosciences	0065-3446
282504591531372735	Advanced biosystems	2366-7478
282504591531372736	Advances in biotechnological processes	0736-2293
282504591531372737	Advances in cancer research	0065-230X
282504591531372738	Advances in carbohydrate chemistry	0096-5332
282504591531372739	Advances in carbohydrate chemistry and biochemistry	0065-2318
282504591531372740	Advances in cardiac surgery	0889-5074
282504591531372741	Advances in cardiology	0065-2326
282504591531372742	Advances in cardiopulmonary diseases	0065-2334
282504591531372743	Advances in cell biology	0065-2369
282504591531372744	Advances in chemotherapy	0567-9877
282504591531372745	Advances in child development and behavior	0065-2407
282504591531372746	Advances in chromatography	0065-2415
282504591531372747	Advances in chronic kidney disease	1548-5595
282504591531372748	Advancing clinical care : official journal of NOAADN	1042-9565
282504591531372749	Advances in clinical chemistry	0065-2423
282504591531372750	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	1899-5276
282504591531372751	Advances in clinical pathology : the official journal of Adriatic Society of Pathology	1125-5552
282504591531372752	Advances in clinical pharmacology	0303-2671
282504591531372753	Advances in clinical rehabilitation	0892-8878
282504591531372754	Advances in colloid and interface science	0001-8686
282504591531372755	Advances in comparative physiology and biochemistry	0065-244X
282504591531372756	Advances in contraception : the official journal of the Society for the Advancement of Contraception	0267-4874
282504591531372757	Advances in cyclic nucleotide and protein phosphorylation research	0747-7767
282504591531372758	Advances in cyclic nucleotide research	0084-5930
282504591531372759	Advances in cytopharmacology	0084-5949
282504591531372760	Advance data	0147-3956
282504591531372761	Advances in dental research	0895-9374
282504591531372762	Advances in dermatology	0882-0880
282504591531372763	Advanced drug delivery reviews	0169-409X
282504591531372764	Advances in drug research	0065-2490
282504591531372765	Advanced emergency nursing journal	1931-4485
282504591531372766	Advances in endocrinology and metabolism	1049-6734
282504591531372767	Advances in enzyme regulation	0065-2571
282504591531372768	Advances in enzymology and related areas of molecular biology	0065-258X
282504591531372769	Advances in experimental medicine and biology	0065-2598
282504591531372771	Advances in food and nutrition research	1043-4526
282504591531372772	Advances in food research	0065-2628
282504591531372773	Advances in food research. Supplement	0065-2636
282504591531372774	Advances in genetics	0065-2660
282504591531372775	Advances in gerontology = Uspekhi gerontologii	1561-9125
282504591531372776	Advances in gerontological research	0065-2709
282504591531372777	Advances in health care management	1474-8231
282504591531372778	Advances in health economics and health services research	0731-2199
282504591531372779	Advances in health economics and health services research. Supplement	1054-1888
282504591531372780	Advances in health sciences education : theory and practice	1382-4996
282504591531372781	Advanced healthcare materials	2192-2640
282504591531372782	Advances in heterocyclic chemistry	0065-2725
282504591531372783	Advances in human genetics	0065-275X
282504591531372784	Advances in immunity and cancer therapy	0178-2134
282504591531372785	Advances in immunology	0065-2776
282504591531372786	Advances in inorganic biochemistry	0190-0218
282504591531372787	Advances in internal medicine	0065-2822
282504600704315394	Advances in kidney disease and health	2949-8139
282504600704315395	Advances in life course research	1569-4909
282504600704315396	Advances in lipid research	0065-2849
282504600704315397	Advances in marine biology	0065-2881
282504600704315398	Advanced materials (Deerfield Beach, Fla.)	0935-9648
282504600704315399	Advances in medical sciences	1896-1126
282504600704315400	Advances in metabolic disorders	0065-2903
282504600704315401	Advances in microbial physiology	0065-2911
282504600704315402	Advances in mind-body medicine	1470-3556
282504600704315403	Advances in morphogenesis	0065-2962
282504600704315404	Advances in myocardiology	0270-4056
282504600704315405	Advances in neonatal care : official journal of the National Association of Neonatal Nurses	1536-0903
282504600704315406	Advances in nephrology from the Necker Hospital	0084-5957
282504600704315408	Advances in neuroimmunology	0960-5428
282504600704315409	Advances in neurology	0091-3952
282504600704315410	Advance for NPs & PAs	2325-6699
282504600704315411	Advance for nurse practitioners	1096-6293
282504600704315412	Advances in nutrition (Bethesda, Md.)	2161-8313
282504600704315413	Advances in nutritional research	0149-9483
282504600704315414	Advances in ophthalmic plastic and reconstructive surgery	0276-3508
282504600704315415	Advances in ophthalmology = Fortschritte der Augenheilkunde = Progrès en ophtalmologie	0065-3004
282504600704315416	Advances in oral biology	0065-3020
282504600704315417	Advances in oto-rhino-laryngology	0065-3071
282504600704315418	Advances in parasitology	0065-308X
